Phone Number,Order ID,Order Date,Payment Method,SKU Code,SKU Name,SKU Category,SKU Price,Qty Sold,Net Value,Channel,Store,Profit
81159904197,6C8579816116,1/10/2025,Debit Card,10602000000000,URAY MADU BTL 450ML,MAKANAN & MINUMAN OLAHAN,99500,4,398000,Tokopedia,KEMANG,66000
81159904197,6C8579816116,1/10/2025,Debit Card,10501200000000,CHICKO SOSIS SAPI BRATWURST MINI 500GR,PRODUK OLAHAN BEKU,47800,4,191200,Tokopedia,KEMANG,70839.64
81349335429,6C8270401925,4/7/2025,Debit Card,10602200000000,ATOOM BULAN MIE TELOR 200GR,MAKANAN & MINUMAN OLAHAN,8500,2,17000,Shopee,TEBET,5350
87885936596,6C8948063883,10/29/2025,Voucher,10707700000000,LOCK N LOCK HOUSEHOLD KITCHEN KNIFE SET 3P,MAKANAN & MINUMAN OLAHAN,84900,2,169800,Gojek,CIKAMPEK,70250.46
87885936596,6C8948063883,10/29/2025,Voucher,10602400000000,TEBS SPARKLING LEMON LIME BTL 300ML,MAKANAN & MINUMAN OLAHAN,4500,1,4500,Gojek,CIKAMPEK,1121.62
81385016658,6C5571755750,3/31/2025,Voucher,10601700000000,DELMONTE PASTA TOMAT CAN 195GR,MAKANAN & MINUMAN OLAHAN,28000,2,56000,Offline,CIKAMPEK,16345.34
81385016658,6C5571755750,3/31/2025,Voucher,10602600000000,RENGGINANG BULAT BESAR GURIH,MAKANAN & MINUMAN OLAHAN,24900,3,74700,Offline,CIKAMPEK,23700
81385016658,6C5571755750,3/31/2025,Voucher,10601300000000,ROSE TEPUNG BERAS PUTIH 500GR,MAKANAN & MINUMAN OLAHAN,9100,1,9100,Offline,CIKAMPEK,2973.87
81385016658,6C5571755750,3/31/2025,Voucher,10602200000000,INDOMIE AYAM BAWANG 69GR,AYAM & TELUR,3200,1.81,5792,Offline,CIKAMPEK,1318.95
82160165128,6C3085113239,3/17/2025,QRIS,10601400000000,GAMBINO EARTHY BLACK 250ML,MAKANAN & MINUMAN OLAHAN,36200,2,72400,Tokopedia,GDC DEPOK,17400
